Upstream.Regulator,Molecule.Type,p.value.of.overlap,B.H.corrected.p.value,Target.Molecules.in.Dataset
CX3CL1,cytokine,1.26e-5,8.34e-5,"ADAMTS1,IRF7,LGALS3BP,SLC40A1,TIMP1"
IL2,cytokine,1.71e-5,1.1e-4,"IFI6,ISG15,LY6E,MX1,PLAC8,RGCC,S100A4,SLC40A1,TIMP1"
OSM,cytokine,1.82e-5,1.17e-4,"ADAMTS1,CFB,IFI35,IRF7,MX1,OAS1,TIMP1,UBE2L6"
IL36G,cytokine,2.77e-5,1.66e-4,"IFI35,IRF7,ISG15,RSAD2,USP18"
IL21,cytokine,2.91e-5,1.74e-4,"CMPK2,IRF7,ISG15,RSAD2,USP18"
CD40LG,cytokine,1.28e-4,6.44e-4,"IFI6,IFIT1,IFIT3,IFITM1,ISG15,MX1"
IL1A,cytokine,4.1e-4,0.00182,"ADAMTS1,IFIT1,IRF7,MX2,TIMP1"
IFNL3,other,6.01e-4,0.00258,"MX1,RIGI"
BMP10,growth factor,8.06e-4,0.0033,"CMPK2,RSAD2,TIMP1"
IFNK,cytokine,8.84e-4,0.00357,"MX1,OAS1"
GPR15LG,cytokine,0.00308,0.0108,"IFIT1,IFIT3"
TGFB1,growth factor,0.00897,0.0262,"CFB,HERC5,IFIT3,ISG15,MX1,PNPT1,RGCC,RSAD2,S100A4,TIMP1"
TSLP,cytokine,0.0091,0.0264,"MX1,TIMP1"
BMP7,growth factor,0.0109,0.0307,"DKK1,S100A4,TIMP1"
GDF5,growth factor,0.0133,0.0353,DKK1
CCL18,cytokine,0.0152,0.0387,S100A4
IL11,cytokine,0.0164,0.0413,"DKK1,TIMP1"
BMP6,growth factor,0.017,0.0423,"ADAMTS1,TIMP1"
AREG,growth factor,0.0173,0.0426,"IFI6,IFIT3"
